ID_No,Guide_No,Name_of_Material
— —,112,Ammonium nitrate-fuel oil mixtures
— —,112,"Blasting agent, n.o.s."
— —,112,"Explosives, division 1.1, 1.2,"
— —,114,"Explosives, division 1.4 or 1.6"
1001,116,"Acetylene, dissolved"
1002,122,"Air, compressed"
1003,122,"Air, refrigerated liquid"
1005,125,"Ammonia, anhydrous"
1005,125,Anhydrous ammonia
1006,120,Argon
1006,120,"Argon, compressed"
1008,125,Boron trifluoride
1008,125,"Boron trifluoride, compressed"
1009,126,Bromotrifluoromethane
1009,126,Refrigerant gas R-13B1
1010,116P,"Butadienes, stabilized"
1010,116P,Butadienes and hydrocarbon
1011,115,Butane
1012,115,Butylene
1013,120,Carbon dioxide
1013,120,"Carbon dioxide, compressed"
1016,119,"Carbon monoxide, compressed"
1017,124,Chlorine
1018,126,Chlorodifluoromethane
1018,126,Refrigerant gas R-22
1020,126,Chloropentafluoroethane
1020,126,Refrigerant gas R-115
1021,126,"1-Chloro-1,2,2,2-"
1021,126,Refrigerant gas R-1241022 126 Chlorotrifluoromethane
1022,126,Refrigerant gas R-13
1023,119,"Coal gas, compressed"
1026,119,Cyanogen
1027,115,Cyclopropane
1028,126,Dichlorodifluoromethane
1028,126,Refrigerant gas R-12
1029,126,Dichlorofluoromethane
1029,126,Refrigerant gas R-21
1030,115,"1,1-Difluoroethane"
1030,115,Refrigerant gas R-152a
1032,118,"Dimethylamine, anhydrous"
1033,115,Dimethyl ether
1035,115,Ethane
1035,115,"Ethane, compressed"
1036,118,Ethylamine
1037,115,Ethyl chloride
1038,115,"Ethylene, refrigerated liquid"
1039,115,Ethyl methyl ether
1039,115,Methyl ethyl ether
1040,119P,Ethylene oxide
1040,119P,Ethylene oxide with nitrogen
1041,115,Ethylene oxide and carbon
1043,125,"Fertilizer, ammoniating solution,"
1044,126,Fire extinguishers with
1045,124,"Fluorine, compressed"
1046,120,"Helium, compressed"
1048,125,"Hydrogen bromide, anhydrous"
1049,115,"Hydrogen, compressed"
1050,125,"Hydrogen chloride, anhydrous"
1051,117P,"Hydrogen cyanide, stabilized"
1052,125,"Hydrogen fluoride, anhydrous"
1053,117,Hydrogen sulfide
1053,117,Hydrogen sulphide
1055,115,Isobutylene
1056,120,"Krypton, compressed"
1057,115,Lighter refills containing
1057,115,Lighters containing flammable
1057,128,"Lighters, non-pressurized,"
1058,120,"Liquefied gases, non-"
1060,116P,Methylacetylene and propadiene
1061,118,"Methylamine, anhydrous"
1062,123,Methyl bromide
1063,115,Methyl chloride
1063,115,Refrigerant gas R-40
1064,117,Methyl mercaptan
1065,120,"Neon, compressed"
1066,120,"Nitrogen, compressed"
1067,124,Dinitrogen tetroxide
1067,124,Nitrogen dioxide
1069,125,Nitrosyl chloride
1070,122,Nitrous oxide
1070,122,"Nitrous oxide, compressed"
1071,119,"Oil gas, compressed"
1072,122,"Oxygen, compressed"
1073,122,"Oxygen, refrigerated liquid"
1075,115,Butylene
1075,115,Isobutane
1075,115,Isobutylene
1075,115,Liquefied petroleum gas
1075,115,LPG
1075,115,"Petroleum gases, liquefied"
1075,115,Propane
1075,115,Propylene
1076,125,Phosgene
1077,115,Propylene
1078,126,"Refrigerant gas, n.o.s."
1079,125,Sulfur dioxide
1079,125,Sulphur dioxide
1080,126,Sulfur hexafluoride
1080,126,Sulphur hexafluoride
1081,116P,"Tetrafluoroethylene, stabilized"
1082,119P,Refrigerant gas R-1113
1082,119P,"Trifluorochloroethylene,"
1083,118,"Trimethylamine, anhydrous"
1085,116P,"Vinyl bromide, stabilized"
1086,116P,"Vinyl chloride, stabilized"
1087,116P,"Vinyl methyl ether, stabilized"
1088,127,Acetal
1089,129P,Acetaldehyde
1090,127,Acetone
1091,127,Acetone oils
1092,131P,"Acrolein, stabilized"
1093,131P,"Acrylonitrile, stabilized"
1098,131,Allyl alcohol
1099,131P,Allyl bromide
1100,131P,Allyl chloride
1104,129,Amyl acetates
1105,129,Pentanols
1106,132,Amylamine
1107,129,Amyl chloride
1108,128,n-Amylene
1108,128,1-Pentene
1109,129,Amyl formates
1110,127,n-Amyl methyl ketone
1110,127,Methyl amyl ketone
1111,130,Amyl mercaptan
1112,128,Amyl nitrate
1113,129,Amyl nitrite
1114,130,Benzene
1120,129,Butanols
1123,129,Butyl acetates
1125,132,n-Butylamine
1126,130,1-Bromobutane
1126,130,n-Butyl bromide
1127,130,n-Butyl chloride
1127,130,Chlorobutanes
1128,129,n-Butyl formate
1129,129P,Butyraldehyde
1130,128,Camphor oil
1131,131,Carbon bisulfide
1131,131,Carbon disulfide
1131,131,Carbon disulphide
1133,128,Adhesives (flammable)
1134,130,Chlorobenzene
1135,131,Ethylene chlorohydrin
1136,128,"Coal tar distillates, flammable"
1139,127,Coating solution1143 131P Crotonaldehyde
1143,131P,"Crotonaldehyde, stabilized"
1144,128,Crotonylene
1145,128,Cyclohexane
1146,128,Cyclopentane
1147,130,Decahydronaphthalene
1148,129,Diacetone alcohol
1149,128,Butyl ethers
1149,128,Dibutyl ethers
1150,130P,"1,2-Dichloroethylene"
1152,130,Dichloropentanes
1153,127,Ethylene glycol diethyl ether
1154,132,Diethylamine
1155,127,Diethyl ether
1155,127,Ethyl ether
1156,127,Diethyl ketone
1157,128,Diisobutyl ketone
1158,132,Diisopropylamine
1159,127,Diisopropyl ether
1160,132,"Dimethylamine, aqueous"
1160,132,"Dimethylamine, solution"
1161,129,Dimethyl carbonate
1162,155,Dimethyldichlorosilane
1163,131,"Dimethylhydrazine,"
1164,130,Dimethyl sulfide
1164,130,Dimethyl sulphide
1165,127,Dioxane
1166,127,Dioxolane
1167,128P,"Divinyl ether, stabilized"
1169,127,"Extracts, aromatic, liquid"
1170,127,Ethanol
1170,127,"Ethanol, solution"
1170,127,Ethyl alcohol
1170,127,"Ethyl alcohol, solution"
1171,127,Ethylene glycol monoethyl ether
1172,129,Ethylene glycol monoethyl ether
1173,129,Ethyl acetate
1175,130,Ethylbenzene
1176,129,Ethyl borate
1177,130,2-Ethylbutyl acetate
1178,130,2-Ethylbutyraldehyde
1179,127,Ethyl butyl ether
1180,130,Ethyl butyrate
1181,155,Ethyl chloroacetate
1182,155,Ethyl chloroformate
1183,139,Ethyldichlorosilane
1184,131,Ethylene dichloride
1185,131P,"Ethyleneimine, stabilized"
1188,127,Ethylene glycol monomethyl
1189,129,Ethylene glycol monomethyl
1190,129,Ethyl formate
1191,129,Ethylhexaldehyde
1191,129,Octyl aldehydes
1192,129,Ethyl lactate
1193,127,Ethyl methyl ketone
1193,127,Methyl ethyl ketone
1194,131,"Ethyl nitrite, solution"
1195,129,Ethyl propionate
1196,155,Ethyltrichlorosilane
1197,127,"Extracts, flavoring, liquid"
1197,127,"Extracts, flavouring, liquid1197 127 Extracts, liquid"
1198,132,"Formaldehyde, solution,"
1198,132,Formalin (flammable)
1199,153P,Furaldehydes
1201,127,Fusel oil
1202,128,Diesel fuel
1202,128,Gas oil
1202,128,"Heating oil, light"
1203,128,Gasoline
1203,128,Motor spirit
1203,128,Petrol
1204,127,"Nitroglycerin, solution in"
1206,128,Heptanes
1207,130,Hexaldehyde
1208,128,Hexanes
1208,128,Neohexane
1210,129,"Printing ink, flammable"
1210,129,"Printing ink related material,"
1212,129,Isobutanol
1212,129,Isobutyl alcohol
1213,129,Isobutyl acetate
1214,132,Isobutylamine
1216,128,Isooctenes
1218,130P,"Isoprene, stabilized"
1219,129,Isopropanol
1219,129,Isopropyl alcohol
1220,129,Isopropyl acetate
1221,132,Isopropylamine
1222,130,Isopropyl nitrate
1223,128,Kerosene
1224,127,"Ketones, liquid, n.o.s."
1228,131,"Mercaptan mixture, liquid,"
1228,131,"Mercaptan mixture, liquid,"
1228,131,"Mercaptans, liquid, flammable,"
1228,131,"Mercaptans, liquid, flammable,"
1229,129,Mesityl oxide
1230,131,Methanol
1230,131,Methyl alcohol
1231,129,Methyl acetate
1233,130,Methylamyl acetate
1234,127,Methylal
1235,132,"Methylamine, aqueous solution"
1237,129,Methyl butyrate
1238,155,Methyl chloroformate
1239,131,Methyl chloromethyl ether
1242,139,Methyldichlorosilane
1243,129,Methyl formate
1244,131,Methylhydrazine
1245,127,Methyl isobutyl ketone
1246,127P,"Methyl isopropenyl ketone,"
1247,129P,"Methyl methacrylate monomer,"
1248,129,Methyl propionate
1249,127,Methyl propyl ketone
1250,155,Methyltrichlorosilane
1251,131P,"Methyl vinyl ketone, stabilized"
1259,131,Nickel carbonyl
1261,129,Nitromethane
1262,128,Isooctane1262 128 Octanes
1263,128,Paint (flammable)
1263,128,Paint related material
1264,129,Paraldehyde
1265,128,Isopentane
1265,128,Pentanes
1266,127,"Perfumery products, with"
1267,128,Petroleum crude oil
1268,128,"Petroleum distillates, n.o.s."
1268,128,"Petroleum products, n.o.s."
1270,128,Petroleum oil
1272,129,Pine oil
1274,129,n-Propanol
1274,129,"Propyl alcohol, normal"
1275,129P,Propionaldehyde
1276,129,n-Propyl acetate
1277,132,Propylamine
1278,129,1-Chloropropane
1278,129,Propyl chloride
1279,130,"1,2-Dichloropropane"
1280,127P,Propylene oxide
1281,129,Propyl formates
1282,129,Pyridine
1286,127,Rosin oil
1287,127,Rubber solution
1288,128,Shale oil
1289,132,"Sodium methylate, solution in"
1292,129,Ethyl silicate
1292,129,Tetraethyl silicate
1293,127,"Tinctures, medicinal"
1294,130,Toluene
1295,139,Trichlorosilane
1296,132,Triethylamine
1297,132,"Trimethylamine, aqueous"
1298,155,Trimethylchlorosilane
1299,128,Turpentine
1300,128,Turpentine substitute
1301,129P,"Vinyl acetate, stabilized"
1302,127P,"Vinyl ethyl ether, stabilized"
1303,130P,"Vinylidene chloride, stabilized"
1304,127P,"Vinyl isobutyl ether, stabilized"
1305,155P,Vinyltrichlorosilane
1306,129,"Wood preservatives, liquid"
1307,130,Xylenes
1308,170,Zirconium suspended in a
1308,170,Zirconium suspended in a liquid
1309,170,"Aluminum powder, coated"
1310,113,"Ammonium picrate, wetted with"
1312,133,Borneol
1313,133,Calcium resinate
1314,133,"Calcium resinate, fused"
1318,133,"Cobalt resinate, precipitated"
1320,113,"Dinitrophenol, wetted with not"
1321,113,"Dinitrophenolates, wetted with"
1322,113,"Dinitroresorcinol, wetted with"
1323,170,Ferrocerium
1324,133,"Films, nitrocellulose base"
1325,133,"Flammable solid, organic, n.o.s.1325 133 Fusee (railway or highway)"
1326,170,"Hafnium powder, wetted with"
1327,133,"Bhusa, wet, damp or"
1327,133,"Hay, wet, damp or contaminated"
1327,133,"Straw, wet, damp or"
1328,133,Hexamethylenetetramine
1330,133,Manganese resinate
1331,133,"Matches, “strike anywhere”"
1332,133,Metaldehyde
1333,170,"Cerium, slabs, ingots or rods"
1334,133,"Naphthalene, crude"
1334,133,"Naphthalene, refined"
1336,113,"Nitroguanidine, wetted with not"
1336,113,"Picrite, wetted with not less"
1337,113,"Nitrostarch, wetted with not less"
1338,133,"Phosphorus, amorphous"
1338,133,Red phosphorus
1339,139,"Phosphorus heptasulfide,"
1339,139,"Phosphorus heptasulphide,"
1340,139,"Phosphorus pentasulfide,"
1340,139,"Phosphorus pentasulphide,"
1341,139,"Phosphorus sesquisulfide,"
1341,139,"Phosphorus sesquisulphide,"
1343,139,"Phosphorus trisulfide, free from"
1343,139,"Phosphorus trisulphide, free"
1344,113,"Picric acid, wetted with not less"
1344,113,"Trinitrophenol, wetted with not"
1345,133,"Rubber scrap, powdered or"
1345,133,"Rubber shoddy, powdered or"
1346,170,"Silicon powder, amorphous"
1347,113,"Silver picrate, wetted with not"
1348,113,"Sodium dinitro-o-cresolate,"
1349,113,"Sodium picramate, wetted with"
1350,133,Sulfur
1350,133,Sulphur
1352,170,"Titanium powder, wetted with"
1353,133,Fabrics impregnated with
1353,133,Fibers impregnated with weakly
1353,133,Fibres impregnated with weakly
1354,113,"Trinitrobenzene, wetted with not"
1355,113,"Trinitrobenzoic acid, wetted with"
1356,113,"Trinitrotoluene, wetted with not"
1357,113,"Urea nitrate, wetted with not"
1358,170,"Zirconium powder, wetted with"
1360,139,Calcium phosphide
1361,133,"Carbon, animal or vegetable"
1361,133,Charcoal
1362,133,"Carbon, activated"
1363,135,Copra
1364,133,"Cotton waste, oily"
1365,133,Cotton
1365,133,"Cotton, wet"
1369,135,p-Nitrosodimethylaniline
1372,133,"Fibers, animal or vegetable,"
1372,133,"Fibres, animal or vegetable,"
1373,133,"Fabrics, animal or vegetable or"
1373,133,"Fibers, animal or vegetable or"
1373,133,"Fibres, animal or vegetable or"
1374,133,"Fish meal, unstabilized"
1374,133,"Fish scrap, unstabilized"
1376,135,"Iron oxide, spent"
1376,135,"Iron sponge, spent"
1378,170,"Metal catalyst, wetted"
1379,133,"Paper, unsaturated oil treated"
1380,135,Pentaborane
1381,136,"Phosphorus, white, dry or under"
1381,136,"Phosphorus, yellow, dry or"
1381,136,"White phosphorus, dry or under"
1381,136,"Yellow phosphorus, dry or under"
1382,135,"Potassium sulfide, anhydrous"
1382,135,"Potassium sulfide, with"
1382,135,"Potassium sulphide, anhydrous"
1382,135,"Potassium sulphide, with"
1383,135,"Aluminum powder, pyrophoric"
1383,135,"Pyrophoric alloy, n.o.s."
1383,135,"Pyrophoric metal, n.o.s."
1384,135,Sodium dithionite
1384,135,Sodium hydrosulfite
1384,135,Sodium hydrosulphite
1385,135,"Sodium sulfide, anhydrous"
1385,135,"Sodium sulfide, with less than"
1385,135,"Sodium sulphide, anhydrous"
1385,135,"Sodium sulphide, with less than"
1386,135,"Seed cake, with more than 1.5%"
1387,133,"Wool waste, wet"
1389,138,"Alkali metal amalgam, liquid"
1390,139,Alkali metal amides
1391,138,Alkali metal dispersion
1391,138,"Alkaline earth metal dispersion1392 138 Alkaline earth metal amalgam,"
1393,138,"Alkaline earth metal alloy, n.o.s."
1394,138,Aluminum carbide
1395,139,Aluminum ferrosilicon powder
1396,138,"Aluminum powder, uncoated"
1397,139,Aluminum phosphide
1398,138,"Aluminum silicon powder,"
1400,138,Barium
1401,138,Calcium
1402,138,Calcium carbide
1403,138,"Calcium cyanamide, with more"
1404,138,Calcium hydride
1405,138,Calcium silicide
1407,138,Caesium
1407,138,Cesium
1408,139,Ferrosilicon
1409,138,"Metal hydrides, water-reactive,"
1410,138,Lithium aluminum hydride
1411,138,"Lithium aluminum hydride,"
1413,138,Lithium borohydride
1414,138,Lithium hydride
1415,138,Lithium
1417,138,Lithium silicon
1418,138,Magnesium alloys powder
1418,138,Magnesium powder
1419,139,Magnesium aluminum
1420,138,"Potassium metal alloys, liquid"
1421,138,"Alkali metal alloy, liquid, n.o.s."
1422,138,"Potassium sodium alloys, liquid"
1423,138,Rubidium
1426,138,Sodium borohydride
1427,138,Sodium hydride
1428,138,Sodium
1431,138,"Sodium methylate, dry"
1432,139,Sodium phosphide
1433,139,Stannic phosphides
1435,138,Zinc ashes
1435,138,Zinc dross
1435,138,Zinc residue
1435,138,Zinc skimmings
1436,138,Zinc dust
1436,138,Zinc powder
1437,138,Zirconium hydride
1438,140,Aluminum nitrate
1439,141,Ammonium dichromate
1442,143,Ammonium perchlorate
1444,140,Ammonium persulfate
1444,140,Ammonium persulphate
1445,141,"Barium chlorate, solid"
1446,141,Barium nitrate
1447,141,"Barium perchlorate, solid"
1448,141,Barium permanganate
1449,141,Barium peroxide
1450,140,"Bromates, inorganic, n.o.s."
1451,140,Caesium nitrate
1451,140,Cesium nitrate
1452,140,Calcium chlorate
1453,140,Calcium chlorite
1454,140,Calcium nitrate
1455,140,Calcium perchlorate1456 140 Calcium permanganate
1457,140,Calcium peroxide
1458,140,Chlorate and borate mixture
1459,140,Chlorate and magnesium
1461,140,"Chlorates, inorganic, n.o.s."
1462,143,"Chlorites, inorganic, n.o.s."
1463,141,"Chromium trioxide, anhydrous"
1465,140,Didymium nitrate
1466,140,Ferric nitrate
1467,143,Guanidine nitrate
1469,141,Lead nitrate
1470,141,"Lead perchlorate, solid"
1471,140,"Lithium hypochlorite, dry"
1471,140,Lithium hypochlorite mixture
1472,143,Lithium peroxide
1473,140,Magnesium bromate
1474,140,Magnesium nitrate
1475,140,Magnesium perchlorate
1476,140,Magnesium peroxide
1477,140,"Nitrates, inorganic, n.o.s."
1479,140,"Oxidizing solid, n.o.s."
1481,140,"Perchlorates, inorganic, n.o.s."
1482,140,"Permanganates, inorganic,"
1483,140,"Peroxides, inorganic, n.o.s."
1484,140,Potassium bromate
1485,140,Potassium chlorate
1486,140,Potassium nitrate
1487,140,Potassium nitrate and sodium
1488,140,Potassium nitrite
1489,140,Potassium perchlorate
1490,140,Potassium permanganate
1491,144,Potassium peroxide
1492,140,Potassium persulfate
1492,140,Potassium persulphate
1493,140,Silver nitrate
1494,140,Sodium bromate
1495,140,Sodium chlorate
1496,143,Sodium chlorite
1498,140,Sodium nitrate
1499,140,Sodium nitrate and potassium
1500,141,Sodium nitrite
1502,140,Sodium perchlorate
1503,140,Sodium permanganate
1504,144,Sodium peroxide
1505,140,Sodium persulfate
1505,140,Sodium persulphate
1506,143,Strontium chlorate
1507,140,Strontium nitrate
1508,140,Strontium perchlorate
1509,143,Strontium peroxide
1510,143,Tetranitromethane
1511,140,Urea hydrogen peroxide
1512,140,Zinc ammonium nitrite
1513,140,Zinc chlorate
1514,140,Zinc nitrate
1515,140,Zinc permanganate
1516,143,Zinc peroxide
1517,113,"Zirconium picramate, wetted"
1541,156,"Acetone cyanohydrin, stabilized"
1544,151,"Alkaloids, solid, n.o.s."
1545,131,"Allyl isothiocyanate, stabilized"
1546,151,Ammonium arsenate
1547,153,Aniline
1548,153,Aniline hydrochloride
1549,157,"Antimony compound, inorganic,"
1550,151,Antimony lactate
1551,151,Antimony potassium tartrate
1553,154,"Arsenic acid, liquid"
1554,154,"Arsenic acid, solid"
1555,151,Arsenic bromide
1556,152,"Arsenic compound, liquid, n.o.s."
1556,152,Methyldichloroarsine
1557,152,"Arsenic compound, solid, n.o.s."
1558,152,Arsenic
1559,151,Arsenic pentoxide
1560,157,Arsenic chloride
1560,157,Arsenic trichloride
1561,151,Arsenic trioxide
1562,152,Arsenical dust
1564,154,"Barium compound, n.o.s."
1565,157,Barium cyanide
1566,154,"Beryllium compound, n.o.s."
1567,134,Beryllium powder
1569,131,Bromoacetone
1570,151,Brucine
1571,113,"Barium azide, wetted with not"
1572,151,Cacodylic acid
1573,151,Calcium arsenate
1574,151,Calcium arsenate and calcium
1575,157,Calcium cyanide
1577,153,"Chlorodinitrobenzenes, liquid"
1578,152,"Chloronitrobenzenes, solid"
1579,153,4-Chloro-o-toluidine
1580,154,Chloropicrin
1581,123,Chloropicrin and methyl bromide
1582,119,Chloropicrin and methyl chloride
1583,154,"Chloropicrin mixture, n.o.s."
1585,151,Copper acetoarsenite
1586,151,Copper arsenite
1587,151,Copper cyanide
1588,157,"Cyanides, inorganic, solid,"
1589,125,"Cyanogen chloride, stabilized"
1590,153,"Dichloroanilines, liquid"
1591,152,o-Dichlorobenzene
1593,160,Dichloromethane
1593,160,Methylene chloride
1594,152,Diethyl sulfate
1594,152,Diethyl sulphate
1595,156,Dimethyl sulfate
1595,156,Dimethyl sulphate
1596,153,Dinitroanilines
1597,152,"Dinitrobenzenes, liquid"
1598,153,Dinitro-o-cresol
1599,153,"Dinitrophenol, solution"
1600,152,"Dinitrotoluenes, molten"
1601,151,"Disinfectant, solid, poisonous,"
1602,151,"Dye, liquid, poisonous, n.o.s."
1602,151,"Dye, liquid, toxic, n.o.s."
1602,151,"Dye intermediate, liquid,"
1602,151,"Dye intermediate, liquid, toxic,"
1603,155,Ethyl bromoacetate
1604,132,Ethylenediamine
1605,154,Ethylene dibromide
1606,151,Ferric arsenate
1607,151,Ferric arsenite
1608,151,Ferrous arsenate
1611,151,Hexaethyl tetraphosphate
1612,123,Hexaethyl tetraphosphate and
1613,154,"Hydrocyanic acid, aqueous"
1613,154,"Hydrocyanic acid, aqueous"
1613,154,"Hydrogen cyanide, aqueous"
1614,152,"Hydrogen cyanide, stabilized"
1616,151,Lead acetate
1617,151,Lead arsenates
1618,151,Lead arsenites
1620,151,Lead cyanide
1621,151,London purple
1622,151,Magnesium arsenate
1623,151,Mercuric arsenate
1624,154,Mercuric chloride
1625,141,Mercuric nitrate
1626,157,Mercuric potassium cyanide
1627,141,Mercurous nitrate
1629,151,Mercury acetate
1630,151,Mercury ammonium chloride
1631,154,Mercury benzoate
1634,154,Mercury bromides
1636,154,Mercury cyanide
1637,151,Mercury gluconate
1638,151,Mercury iodide
1639,151,Mercury nucleate
1640,151,Mercury oleate
1641,151,Mercury oxide
1642,151,"Mercury oxycyanide,"
1643,151,Mercury potassium iodide
1644,151,Mercury salicylate
1645,151,Mercury sulfate
1645,151,Mercury sulphate
1646,151,Mercury thiocyanate
1647,151,Methyl bromide and ethylene
1648,127,Acetonitrile
1649,152,Motor fuel anti-knock mixture
1650,153,"beta-Naphthylamine, solid"
1650,153,"Naphthylamine (beta), solid"
1651,153,Naphthylthiourea
1652,153,Naphthylurea
1653,151,Nickel cyanide
1654,151,Nicotine
1655,151,"Nicotine compound, solid, n.o.s."
1655,151,"Nicotine preparation, solid,"
1656,151,"Nicotine hydrochloride, liquid1656 151 Nicotine hydrochloride, solution"
1657,151,Nicotine salicylate
1658,151,"Nicotine sulfate, solution"
1658,151,"Nicotine sulphate, solution"
1659,151,Nicotine tartrate
1660,124,"Nitric oxide, compressed"
1661,153,Nitroanilines
1662,152,Nitrobenzene
1663,153,Nitrophenols
1664,152,"Nitrotoluenes, liquid"
1665,152,"Nitroxylenes, liquid"
1669,151,Pentachloroethane
1670,157,Perchloromethyl mercaptan
1671,153,"Phenol, solid"
1672,151,Phenylcarbylamine chloride
1673,153,Phenylenediamines
1674,151,Phenylmercuric acetate
1677,151,Potassium arsenate
1678,154,Potassium arsenite
1679,157,Potassium cuprocyanide
1680,157,"Potassium cyanide, solid"
1683,151,Silver arsenite
1684,151,Silver cyanide
1685,151,Sodium arsenate
1686,154,"Sodium arsenite, aqueous"
1687,153,Sodium azide
1688,152,Sodium cacodylate
1689,157,"Sodium cyanide, solid"
1690,154,"Sodium fluoride, solid"
1691,151,Strontium arsenite
1692,151,Strychnine
1692,151,Strychnine salts
1693,159,Tear gas devices
1693,159,"Tear gas substance, liquid,"
1694,159,"Bromobenzyl cyanides, liquid"
1695,131,"Chloroacetone, stabilized"
1697,153,"Chloroacetophenone, solid"
1698,154,Diphenylamine chloroarsine
1699,151,"Diphenylchloroarsine, liquid"
1700,159,Tear gas candles
1700,159,Tear gas grenades
1701,152,"Xylyl bromide, liquid"
1702,151,"1,1,2,2-Tetrachloroethane"
1704,153,Tetraethyl dithiopyrophosphate
1707,151,"Thallium compound, n.o.s."
1708,153,"Toluidines, liquid"
1709,151,"2,4-Toluenediamine, solid"
1709,151,"2,4-Toluylenediamine, solid"
1710,160,Trichloroethylene
1711,153,"Xylidines, liquid"
1712,151,Zinc arsenate
1712,151,Zinc arsenate and zinc arsenite
1712,151,Zinc arsenite
1713,151,Zinc cyanide
1714,139,Zinc phosphide
1715,137,Acetic anhydride
1716,156,Acetyl bromide
1717,155,Acetyl chloride
1718,153,Acid butyl phosphate
1718,153,Butyl acid phosphate
1719,154,"Caustic alkali liquid, n.o.s."
1722,155,Allyl chlorocarbonate1722 155 Allyl chloroformate
1723,132,Allyl iodide
1724,155,"Allyltrichlorosilane, stabilized"
1725,137,"Aluminum bromide, anhydrous"
1726,137,"Aluminum chloride, anhydrous"
1727,154,"Ammonium bifluoride, solid"
1727,154,"Ammonium hydrogendifluoride,"
1728,156,Amyltrichlorosilane
1729,156,Anisoyl chloride
1730,157,"Antimony pentachloride, liquid"
1731,157,"Antimony pentachloride,"
1732,157,Antimony pentafluoride
1733,157,Antimony trichloride
1733,157,"Antimony trichloride, liquid"
1733,157,"Antimony trichloride, solid"
1736,137,Benzoyl chloride
1737,156,Benzyl bromide
1738,156,Benzyl chloride
1739,137,Benzyl chloroformate
1740,154,"Hydrogendifluorides, solid,"
1741,125,Boron trichloride
1742,157,Boron trifluoride acetic acid
1743,157,Boron trifluoride propionic acid
1744,154,Bromine
1744,154,"Bromine, solution"
1744,154,"Bromine, solution (Inhalation"
1744,154,"Bromine, solution (Inhalation"
1745,144,Bromine pentafluoride
1746,144,Bromine trifluoride
1747,155,Butyltrichlorosilane
1748,140,"Calcium hypochlorite, dry"
1748,140,"Calcium hypochlorite mixture,"
1749,124,Chlorine trifluoride
1750,153,"Chloroacetic acid, solution"
1751,153,"Chloroacetic acid, solid"
1752,156,Chloroacetyl chloride
1753,156,Chlorophenyltrichlorosilane
1754,137,Chlorosulfonic acid (with or
1754,137,Chlorosulphonic acid (with or
1755,154,"Chromic acid, solution"
1756,154,"Chromic fluoride, solid"
1757,154,"Chromic fluoride, solution"
1758,137,Chromium oxychloride
1759,154,"Corrosive solid, n.o.s."
1759,154,"Ferrous chloride, solid"
1760,154,Chemical kit
1760,154,"Compounds, cleaning  liquid"
1760,154,"Compounds, tree or weed"
1760,154,"Corrosive liquid, n.o.s."
1760,154,"Ferrous chloride, solution"
1761,154,"Cupriethylenediamine, solution"
1762,156,Cyclohexenyltrichlorosilane
